"date","count"
"2014-06-28",11830
"2014-06-29",11830
"2014-06-30",11830
"2014-07-02",11830
"2014-07-03",14102
"2014-07-05",12751
"2014-07-06",12751
"2014-07-07",14892
"2014-07-08",14892
"2014-07-09",6945
"2014-07-11",15115
"2014-07-12",15115
"2014-07-14",15339
"2014-07-15",15339
"2014-07-16",13887
"2014-07-18",15129
"2014-07-20",13521
"2014-07-21",16065
"2014-07-22",15417
"2014-07-23",15417
"2014-07-24",13709
"2014-07-25",14854
"2014-07-26",14854
"2014-07-28",11985
"2014-07-30",11985
"2014-08-01",10742
"2014-08-03",10742
"2014-08-05",15119
"2014-08-06",14495
"2014-08-14",14810
"2014-08-15",2092
"2014-08-16",14842
"2014-08-20",14719
"2014-08-25",15522
"2014-08-26",15522
"2014-08-27",15522
"2014-08-29",17070
"2014-08-31",17070
"2014-09-03",17189
"2014-09-06",18162
"2014-09-08",16452
"2014-09-09",16452
"2014-09-10",16452
"2014-09-12",16452
"2014-09-13",15968
"2014-09-15",15968
"2014-09-17",14454
"2014-09-18",14458
"2014-09-20",16407
"2014-09-21",16407
"2014-09-22",16407
"2014-09-24",11771
"2014-09-25",18103
"2014-09-26",18103
"2014-09-28",18103
"2014-09-29",17279
"2014-09-30",17279
"2014-10-02",17279
"2014-10-04",17279
"2014-10-06",15637
"2014-10-10",17450
"2014-10-11",17450
"2014-10-13",17450
"2014-10-15",19660
"2014-10-16",19660
"2014-10-17",17982
"2014-10-18",17982
"2014-10-29",18386
"2014-10-30",18386
"2014-10-31",18386
"2014-11-01",18524
"2014-11-02",18524
"2014-11-03",18524
"2014-11-04",18524
"2014-11-05",18524
"2014-11-06",18524
"2014-11-07",18524
"2014-11-08",17128
"2014-11-10",17128
"2014-11-11",17128
"2014-11-12",17128
"2014-11-13",17128
"2014-11-14",17128
"2014-11-15",17128
"2014-11-16",21652
"2014-11-17",21652
"2014-11-18",21652
"2014-11-19",19076
"2014-11-20",19076
"2014-11-21",19076
"2014-11-22",19076
"2014-11-23",19076
"2014-11-24",19076
"2014-11-25",19076
"2014-11-27",18494
"2014-11-29",18494
"2014-11-30",18494
"2014-12-02",18494
"2014-12-03",18494
"2014-12-04",18494
"2014-12-05",18494
"2014-12-06",18494
"2014-12-09",18745
"2014-12-10",18745
"2014-12-13",19993
"2014-12-14",19993
"2014-12-15",19993
"2014-12-16",19993
"2014-12-17",21908
"2014-12-19",20605
"2014-12-21",20605
"2014-12-22",20605
"2014-12-23",20006
"2014-12-24",20299
"2014-12-25",21607
"2014-12-27",18120
"2014-12-28",18120
"2014-12-29",17908
"2014-12-30",17908
"2014-12-31",17908
"2015-01-02",17908
"2015-01-03",17908
"2015-01-04",20532
"2015-01-06",16213
"2015-01-09",18000
"2015-02-21",20511
"2015-02-22",20511
"2015-02-23",20511
"2015-02-24",20511
"2015-02-25",20511
"2015-02-27",20511
"2015-02-28",20511
"2015-03-01",20511
"2015-03-03",20511
"2015-03-04",21320
"2015-03-06",21320
"2015-03-07",21320
"2015-03-10",21320
"2015-03-11",21320
"2015-03-12",21320
"2015-03-15",21116
"2015-03-16",21116
"2015-03-17",21116
"2015-03-18",21116
"2015-03-19",21116
"2015-03-20",21116
"2015-03-21",21116
"2015-03-22",21116
"2015-03-23",21116
"2015-03-24",21619
"2015-03-26",3094
"2015-03-27",3931
"2015-03-28",22856
"2015-03-30",22856
"2015-03-31",22856
"2015-04-02",25439
"2015-04-04",25053
"2015-04-05",25053
"2015-04-06",25053
"2015-04-07",21457
"2015-04-08",21457
"2015-04-09",27549
"2015-04-10",27549
"2015-04-12",25074
"2015-04-16",25074
"2015-04-17",25074
"2015-04-18",25074
"2015-04-20",15740
"2015-04-21",15740
"2015-04-22",15740
"2015-04-23",15740
"2015-04-24",15740
"2015-04-25",15740
"2015-04-27",15740
"2015-04-28",15740
"2015-04-29",15740
"2015-05-02",12628
"2015-05-03",12628
"2015-05-04",12628
"2015-05-05",12628
"2015-05-06",25259
"2015-05-08",27385
"2015-05-09",27385
"2015-05-10",27385
"2015-05-11",27385
"2015-05-13",27674
"2015-05-15",27674
"2015-05-18",19855
"2015-05-19",19855
"2015-05-20",19855
"2015-05-21",19855
"2015-05-27",3756
"2015-05-28",10807
"2015-05-29",10807
"2015-06-02",21652
"2015-06-03",21652
"2015-06-04",21652
"2015-06-05",21652
"2015-06-06",21400
"2015-06-07",20354
"2015-06-08",28573
"2015-06-09",28573
"2015-06-10",28573
"2015-06-11",26061
"2015-06-12",26061
"2015-06-14",26061
"2015-06-15",26061
"2015-06-16",26061
"2015-06-17",29998
"2015-06-20",26791
"2015-06-21",26791
"2015-06-22",29335
"2015-06-23",29335
"2015-06-24",29335
"2015-06-25",29335
"2015-06-26",29335
"2015-06-27",29252
"2015-06-29",29409
"2015-06-30",29409
"2015-07-02",26680
"2015-07-04",26680
"2015-07-06",26680
"2015-07-07",5386
"2015-07-08",26665
"2015-07-09",26665
"2015-07-10",26665
"2015-07-11",26665
"2015-07-12",26665
